Name,Gender,Department,Sum of Salary,Location,Rating,Gender_Status,Salary (bins)
Gino Groome,Female,Research and Development,60440,Lagos,Very Good,Female,60000
Gisela Wille,"",Support,58850,Lagos,Poor,Undisclosed,50000
Giselbert Newlands,Male,Services,47650,Abuja,Poor,Male,40000
Gisella Mewe,Female,Support,109760,Abuja,Good,Female,100000
Glennis Fussen,Female,Sales,58370,Kaduna,Good,Female,50000
Gradey Litton,Female,Accounting,68890,Kaduna,Good,Female,60000
Grady Crosgrove,"",Sales,77910,Kaduna,Average,Undisclosed,70000
Grady Rochelle,Female,Accounting,69160,Kaduna,Very Good,Female,60000
Granny Spencelayh,Male,Legal,99460,Abuja,Average,Male,90000
Granville Stetson,Female,Engineering,111190,Lagos,Average,Female,110000
Gray Seamon,Female,Business Development,78540,Kaduna,Average,Female,70000
Gretchen Callow,Female,Training,33920,Kaduna,Average,Female,30000
Grier Kidsley,Female,Product Management,51800,Abuja,Average,Female,50000
Griz Thorington,Male,Support,47670,Abuja,Average,Male,40000
Grover Cooksey,"",Services,74620,Kaduna,Poor,Undisclosed,70000
Gunar Cockshoot,Male,Business Development,48950,Abuja,Good,Male,40000
Gwenore Scotchmer,Female,Business Development,105290,Kaduna,Very Poor,Female,100000
Halette Yesenev,Male,Services,61920,Kaduna,Average,Male,60000
Hali Behnecke,Male,Human Resources,65570,Kaduna,Very Good,Male,60000
Halimeda Kuscha,Female,Engineering,112570,Abuja,Poor,Female,110000
Hannis January,Male,Business Development,29530,Lagos,Not Rated,Male,20000
Hans Bucke,Male,Legal,78560,Kaduna,Very Poor,Male,70000
Hartwell Pratchett,Female,Training,42730,Lagos,Average,Female,40000
Harwilll Domotor,Male,Training,112370,Kaduna,Average,Male,110000
Hatti Vezey,Female,Business Development,116240,Kaduna,Average,Female,110000
Haven Belward,Male,Accounting,89120,Lagos,Good,Male,80000
Hector Isard,Male,Support,116970,Abuja,Very Good,Male,110000
Hedvige Stelfox,Female,Human Resources,33800,Abuja,Average,Female,30000
Hedwiga Ingarfield,Female,Legal,38250,Kaduna,Average,Female,30000
Helaine Lyddy,Male,Services,103110,Kaduna,Good,Male,100000
Helene Bouts,Male,Sales,70380,Lagos,Good,Male,70000
Hephzibah Summerell,Female,Services,28310,Abuja,Average,Female,20000
Herschel Wareham,Male,Services,110830,Kaduna,Average,Male,110000
Hildagard Reece,Female,Services,41220,Lagos,Average,Female,40000
Hilliary Roarty,Male,Services,104770,Kaduna,Poor,Male,100000
Hinda Label,Female,Human Resources,92700,Kaduna,Average,Female,90000
Hiram Merkle,Male,Legal,116090,Kaduna,Average,Male,110000
Hiram Merkle,Male,Legal,116090,Kaduna,Not Rated,Male,110000
Hobard Benninger,Female,Product Management,86920,Abuja,Average,Female,80000
Hobie Stockbridge,Male,Engineering,92940,Lagos,Good,Male,90000
Hogan Iles,Female,Accounting,114180,Lagos,Very Good,Female,110000
Honoria Cootes,Female,Engineering,115640,Abuja,Average,Female,110000
Hoyt D'Alesco,Male,Sales,53540,Abuja,Poor,Male,50000
Husein Augar,Female,Marketing,67910,Kaduna,Average,Female,60000
Hyacinthie Braybrooke,Female,Support,68900,Abuja,Average,Female,60000
Iain Wiburn,Female,Sales,84760,Kaduna,Average,Female,80000
Ianthe Sayre,Male,Support,110730,Abuja,Very Good,Male,110000
Ignacio Delion,Female,Engineering,113690,Kaduna,Average,Female,110000
Ignacius Losel,Male,Legal,28480,Kaduna,Good,Male,20000
Ignacius Losel,Male,Legal,28480,Kaduna,Poor,Male,20000
Inge Creer,Female,Services,69060,Lagos,Very Poor,Female,60000
Inger Andriveaux,"",Accounting,107110,Abuja,Good,Undisclosed,100000
Inger Chapelhow,Female,Research and Development,84310,Abuja,Good,Female,80000
Inger Chapelhow,Female,Research and Development,84310,Lagos,Average,Female,80000
Ingunna Wainscoat,Male,Support,73240,Kaduna,Average,Male,70000
Irena Trousdell,Female,Marketing,29530,Kaduna,Very Poor,Female,20000
Irvine Blenkin,Male,Human Resources,79590,Abuja,Very Poor,Male,70000
Irwin Kirsche,Female,Accounting,36150,Kaduna,Poor,Female,30000
Isa Mogie,Female,Training,50950,Kaduna,Good,Female,50000
Isaak Rawne,Male,Marketing,37360,Lagos,Average,Male,30000
Isadora Maunsell,Male,Sales,78490,Abuja,Average,Male,70000
Isidora Guido,Male,Engineering,43150,Abuja,Very Good,Male,40000
Israel Farndon,Male,Marketing,107220,Lagos,Average,Male,100000
Issiah Cradick,Male,Engineering,81380,Lagos,Not Rated,Male,80000
Issie Crippes,Female,Product Management,81720,Abuja,Very Good,Female,80000
Issy McLevie,Male,Research and Development,84940,Kaduna,Poor,Male,80000
Itch Tinklin,Female,Support,77110,Abuja,Average,Female,70000
Izzy Brisco,Female,Marketing,108080,Abuja,Average,Female,100000
Jacklyn Andrioletti,Female,Training,86990,Abuja,Poor,Female,80000
Jacobo Lasham,Female,Services,51320,Kaduna,Very Poor,Female,50000
Jaime Dowe,Female,Accounting,39940,Lagos,Average,Female,30000
Jakob Philippe,Male,Marketing,51910,Kaduna,Good,Male,50000
Jamal Beagen,Female,Support,35830,Kaduna,Average,Female,30000
Jamesy O'Ferris,Male,Accounting,36550,Kaduna,Average,Male,30000
Jan Morforth,Male,Marketing,48170,Abuja,Good,Male,40000
Janaya MacGinlay,Female,Support,33050,Abuja,Average,Female,30000
Janean Gostage,Male,Services,81150,Abuja,Not Rated,Male,80000
Janene Hairsine,Female,Marketing,104770,Abuja,Average,Female,100000
Janina Wolverson,Female,Research and Development,99680,Kaduna,Good,Female,90000
Jannel Labb,Female,Research and Development,47910,Kaduna,Average,Female,40000
Jarad Barbrook,Female,Human Resources,31200,Abuja,Very Poor,Female,30000
Jeane Bermingham,Male,Research and Development,116980,Kaduna,Very Poor,Male,110000
Jeane Blaszczak,Female,Engineering,44300,Lagos,Good,Female,40000
Jeane Blaszczak,Female,Engineering,44300,Lagos,Poor,Female,40000
Jeannie Petracco,Female,Engineering,94820,Abuja,Average,Female,90000
Jedd Moretto,Male,Support,63720,Kaduna,Very Good,Male,60000
Jehu Rudeforth,Female,Engineering,60130,Abuja,Average,Female,60000
Jermaine Steers,Female,Accounting,35440,Abuja,Good,Female,30000
Jessi Calterone,Male,Legal,38520,Lagos,Poor,Male,30000
Jessica Burditt,Female,Services,97120,Kaduna,Average,Female,90000
Jessica Callcott,Female,Marketing,66020,Lagos,Very Good,Female,60000
Jessika Jaycocks,Female,Research and Development,67980,Lagos,Average,Female,60000
Jill Shipsey,Male,Accounting,52960,Lagos,Average,Male,50000
Jillana Gabbitis,Male,Marketing,91360,Kaduna,Average,Male,90000
Jim Perrygo,Male,Services,96790,Lagos,Good,Male,90000
Jo Benoi,Female,Human Resources,117520,Kaduna,Average,Female,110000
Joana Bartocci,Male,Human Resources,52670,Abuja,Average,Male,50000
Joana Bartocci,Male,Human Resources,52670,Kaduna,Average,Male,50000
Jo-anne Gobeau,Female,Training,37900,Abuja,Good,Female,30000
Joaquin McVitty,Male,Sales,68860,Lagos,Good,Male,60000
Jobey Boneham,Female,Services,74010,Kaduna,Average,Female,70000
Jobie Basili,Female,Sales,39340,Kaduna,Good,Female,30000
Joella Maevela,Female,Sales,76210,Abuja,Good,Female,70000
Joella Maevela,Female,Sales,76210,Kaduna,Good,Female,70000
Joey Keedwell,Female,Marketing,107440,Kaduna,Poor,Female,100000
Joli Jodrelle,Male,Services,77100,Kaduna,Good,Male,70000
Jolynn Behnecken,Female,Services,85180,Kaduna,Poor,Female,80000
Jolynn Lumbley,"",Research and Development,70020,Abuja,Average,Undisclosed,70000
Jordain Cyster,Female,Engineering,75870,Kaduna,Average,Female,70000
Jordain Sparkwill,Female,Product Management,107660,Abuja,Good,Female,100000
Jori Ashleigh,Male,Legal,64270,Abuja,Average,Male,60000
Josepha Keningham,Male,Human Resources,42990,Kaduna,Average,Male,40000
Joshia Farris,Female,Legal,36740,Kaduna,Average,Female,30000
Josie Barnson,Female,Training,74110,Kaduna,Very Good,Female,70000
Joyce Esel,Male,Sales,101390,Kaduna,Average,Male,100000
Joyce Esel,Male,Sales,101390,Kaduna,Good,Male,100000
Joyce Leyband,Female,Product Management,68200,Lagos,Average,Female,60000
Juanita Trembey,"",Business Development,54780,Kaduna,Very Good,Undisclosed,50000
Judi Cosgriff,Female,Human Resources,86390,Abuja,Good,Female,80000
Judie Di Bernardo,Male,Accounting,117150,Abuja,Average,Male,110000
Juditha Hatherleigh,Female,Human Resources,34830,Kaduna,Average,Female,30000
Julian Andrassy,Female,Marketing,113980,Lagos,Poor,Female,110000
Justino Chapiro,Male,Sales,71030,Lagos,Average,Male,70000
Kai Ryder,Female,Accounting,119930,Lagos,Average,Female,110000
Kaine Padly,Male,Research and Development,107700,Abuja,Very Good,Male,100000
Kakalina Stanaway,Male,Human Resources,97020,Kaduna,Poor,Male,90000
Karee Ruslinge,Female,Human Resources,82300,Kaduna,Not Rated,Female,80000
Karita Vasyanin,Male,Legal,93080,Lagos,Average,Male,90000
Karlen McCaffrey,Female,Services,71230,Kaduna,Very Poor,Female,70000
Karon Oscroft,Male,Marketing,112120,Lagos,Average,Male,110000
Karyn Creeghan,Male,Engineering,36540,Kaduna,Good,Male,30000
Katerine Lohden,Male,Support,115090,Kaduna,Average,Male,110000
Katey Cadany,Male,Services,92010,Abuja,Very Poor,Male,90000
Kath Bletsoe,Male,Marketing,65700,Abuja,Very Poor,Male,60000
Katya Hundy,Male,Business Development,88510,Kaduna,Poor,Male,80000
Katya Hundy,Male,Business Development,88510,Lagos,Average,Male,80000
Kay Edling,Male,Support,38330,Lagos,Average,Male,30000
Kaye Crocroft,Male,Sales,52610,Lagos,Poor,Male,50000
Kayley Southwell,Female,Marketing,101670,Kaduna,Average,Female,100000
Kelci Walkden,Male,Human Resources,57090,Kaduna,Very Poor,Male,50000
Kelley Rounds,Female,Engineering,114810,Kaduna,Average,Female,110000
Kellsie Waby,Male,Training,79570,Kaduna,Average,Male,70000
Kelly Corkitt,Female,Human Resources,85260,Lagos,Poor,Female,80000
Kerwin Blakely,Male,Research and Development,68480,Lagos,Poor,Male,60000
Kienan Epinay,Male,Marketing,91120,Kaduna,Poor,Male,90000
Kikelia Ellor,"",Engineering,34620,Kaduna,Very Good,Undisclosed,30000
Kincaid Hellicar,Male,Business Development,96610,Kaduna,Very Good,Male,90000
Kingsley Hagard,Male,Engineering,32810,Kaduna,Average,Male,30000
Kissiah Maydway,Male,Accounting,106460,Lagos,Good,Male,100000
Kissiah Maydway,Male,Accounting,106460,Lagos,Poor,Male,100000
Kit Battlestone,Female,Research and Development,115980,Abuja,Good,Female,110000
Konstantin Timblett,Female,Training,56250,Abuja,Average,Female,50000
Konstanze Wyleman,Male,Engineering,90800,Abuja,Average,Male,90000
Kora Allebone,Female,Legal,98970,Lagos,Not Rated,Female,90000
Koral Gerriet,Male,Support,30080,Abuja,Average,Male,30000
Korney Bockings,Male,Engineering,40530,Lagos,Average,Male,40000
Kristofor Powner,Male,Support,69340,Lagos,Average,Male,60000
Krysta Elacoate,Male,Human Resources,106930,Abuja,Very Poor,Male,100000
Krysta Elacoate,Male,Human Resources,106930,Kaduna,Average,Male,100000
Krystal Lambswood,Female,Training,41600,Abuja,Not Rated,Female,40000
Krystal Lambswood,Female,Training,41600,Kaduna,Poor,Female,40000
L;urette Bontein,Male,Product Management,47650,Abuja,Good,Male,40000
Lamar Blewitt,Male,Services,41910,Lagos,Poor,Male,40000
Lamond Douthwaite,Male,Engineering,90530,Lagos,Very Poor,Male,90000
Lane Monteaux,Female,Engineering,109980,Kaduna,Average,Female,100000
Laney Renne,Male,Engineering,57350,Kaduna,Good,Male,50000
Lanie Gatlin,Female,Support,45110,Abuja,Not Rated,Female,40000
Lanny Beaney,Male,Legal,38730,Abuja,Average,Male,30000
Larissa Ingledow,Male,Research and Development,62280,Kaduna,Not Rated,Male,60000
Lark Ironmonger,Male,Marketing,85780,Abuja,Poor,Male,80000
Larry Pioch,Male,Research and Development,49670,Abuja,Good,Male,40000
Larry Pioch,Male,Research and Development,49670,Abuja,Poor,Male,40000
Latisha Jolly,Female,Research and Development,58400,Lagos,Average,Female,50000
Laura Gomar,Female,Research and Development,36860,Lagos,Poor,Female,30000
Layton Crayden,Male,Product Management,40450,Kaduna,Average,Male,40000
Layton Kierans,Male,Human Resources,113790,Kaduna,Very Poor,Male,110000
Lea Chaplin,Female,Human Resources,73490,Kaduna,Poor,Female,70000
Leela Eckart,Male,Legal,90340,Kaduna,Average,Male,90000
Leena Bruckshaw,Male,Research and Development,74280,Lagos,Average,Male,70000
Leilah Yesinin,Female,Research and Development,92450,Kaduna,Not Rated,Female,90000
Lek Scamaden,Female,Training,51860,Abuja,Good,Female,50000
Leonidas Cavaney,Male,Accounting,52250,Kaduna,Very Poor,Male,50000
Leslie Baruch,Female,Accounting,103990,Kaduna,Very Good,Female,100000
Leslie Cardoso,Female,Business Development,103340,Abuja,Good,Female,100000
Letisha Carrett,Female,Sales,84600,Abuja,Very Poor,Female,80000
Letizia Hasselby,Male,Legal,61790,Abuja,Average,Male,60000
Lezlie Balmann,Male,Product Management,112460,Kaduna,Poor,Male,110000
Lia Lurner,Female,Support,77260,Abuja,Average,Female,70000
Liane Bedburrow,Female,Training,76620,Abuja,Average,Female,70000
Lil Ibberson,Male,Business Development,75920,Kaduna,Good,Male,70000
Lilyan Klimpt,Male,Services,58960,Lagos,Average,Male,50000
Lincoln Cord,Female,Support,63560,Abuja,Very Good,Female,60000
Lincoln Greatex,Male,Human Resources,34650,Abuja,Average,Male,30000
Lindi Morfey,Male,Training,99470,Kaduna,Good,Male,90000
Lindy Guillet,Male,Training,112780,Abuja,Poor,Male,110000
Linell Compfort,Female,Accounting,70440,Abuja,Very Good,Female,70000
Lion Adcock,Female,Legal,63710,Lagos,Average,Female,60000
Lishe Casemore,Male,Services,117840,Kaduna,Average,Male,110000
Lisle Danahar,"",Sales,75990,Kaduna,Average,Undisclosed,70000
Lissy McCoy,Female,Business Development,86230,Abuja,Poor,Female,80000
Lonny Caen,Female,Research and Development,35980,Lagos,Good,Female,30000
Lonny Caen,Female,Research and Development,35980,Lagos,Very Good,Female,30000
Lorain Tew,Female,Business Development,71590,Lagos,Poor,Female,70000
Loralyn Bruton,Male,Legal,39960,Abuja,Average,Male,30000
Loren Bentote,Male,Accounting,56280,Kaduna,Poor,Male,50000
Loren Rettie,Female,Engineering,96000,Kaduna,Average,Female,90000
Lorrie Derycot,Female,Support,93270,Lagos,Average,Female,90000
Louise Lamming,Female,Sales,41930,Abuja,Poor,Female,40000
Louise Lamming,Female,Sales,41930,Lagos,Average,Female,40000
Luca Wolstenholme,Male,Engineering,53180,Kaduna,Average,Male,50000
Luce Beentjes,Male,Training,48180,Abuja,Good,Male,40000
Lucias Minico,Female,Services,67960,Kaduna,Average,Female,60000
Ludovika Plaice,Male,Training,59670,Kaduna,Not Rated,Male,50000
Mabel Orrow,Male,Product Management,31240,Abuja,Poor,Male,30000
Mable Phythian,Female,Engineering,30000,Kaduna,Average,Female,30000
Mackenzie Hannis,Female,Training,57000,Abuja,Very Poor,Female,50000
Madelene Upcott,Male,Legal,109190,Abuja,Average,Male,100000
Madge McCloughen,"",Training,91310,Kaduna,Average,Undisclosed,90000
Madlen Ashburner,Male,Support,42240,Abuja,Very Good,Male,40000
Maggee Stiggles,Female,Engineering,38930,Abuja,Average,Female,30000
Maggie Ruberti,Male,Training,108340,Kaduna,Not Rated,Male,100000
Magnum Locksley,Female,Services,42310,Abuja,Not Rated,Female,40000
Mahalia Larcher,Male,Accounting,113280,Abuja,Good,Male,110000
Maisie Shotboulte,Female,Marketing,71210,Abuja,Very Good,Female,70000
Major O'Cahsedy,Female,Legal,29490,Abuja,Not Rated,Female,20000
Mallorie Waber,Male,Training,60570,Lagos,Good,Male,60000
Mallory Goldsberry,Male,Product Management,29610,Abuja,Average,Male,20000
Malory Biles,Female,Training,58740,Kaduna,Not Rated,Female,50000
Manolo Gasnell,Male,Engineering,88380,Kaduna,Good,Male,80000
Marcellina Kitt,Female,Business Development,78500,Kaduna,Very Good,Female,70000
Marcia Muldrew,Female,Sales,71510,Lagos,Good,Female,70000
Marco Wooland,Female,Services,85530,Kaduna,Average,Female,80000
Marga Lorenzo,Female,Legal,89360,Abuja,Good,Female,80000
Margarete Blasing,Male,Support,110970,Kaduna,Not Rated,Male,110000
Margit Kunze,Male,Engineering,94020,Abuja,Good,Male,90000
Margot Royds,Female,Human Resources,106930,Lagos,Average,Female,100000
Margy Elward,Male,Business Development,103670,Lagos,Average,Male,100000
Mariann Mowat,Male,Marketing,32620,Kaduna,Good,Male,30000
Mariette Daymont,Female,Sales,99530,Abuja,Average,Female,90000
Mariette Daymont,Female,Sales,99530,Lagos,Not Rated,Female,90000
Marissa Infante,"",Training,78840,Lagos,Average,Undisclosed,70000
Maritsa Marusic,Male,Research and Development,52750,Abuja,Average,Male,50000
Maritsa Marusic,Male,Research and Development,52750,Kaduna,Average,Male,50000
Marjie Bamford,Male,Sales,80770,Abuja,Very Good,Male,80000
Marlie Charsley,Male,Support,108450,Abuja,Poor,Male,100000
Marline Wahncke,Male,Legal,72840,Abuja,Average,Male,70000
Marlowe Constantine,Male,Services,60560,Abuja,Average,Male,60000
Marmaduke Worssam,Female,Engineering,78380,Abuja,Very Poor,Female,70000
Marney O'Breen,Female,Product Management,65920,Kaduna,Good,Female,60000
Marni Jull,Female,Services,84200,Abuja,Good,Female,80000
Martelle Brise,Male,Training,79520,Kaduna,Average,Male,70000
Martita Beaumont,Male,Engineering,81790,Lagos,Not Rated,Male,80000
Mata Fishley,Male,Accounting,102520,Abuja,Poor,Male,100000
Mathian MacMeeking,Female,Services,45060,Kaduna,Good,Female,40000
Mathian MacMeeking,Female,Services,45060,Lagos,Average,Female,40000
Matias Cormack,Male,Research and Development,85460,Kaduna,Average,Male,80000
Max Shower,Male,Training,67510,Kaduna,Not Rated,Male,60000
Maximo Guirard,Female,Business Development,37020,Kaduna,Average,Female,30000
Maximo Ungerecht,Male,Support,96250,Lagos,Average,Male,90000
Meara Darrington,Male,Engineering,76190,Abuja,Poor,Male,70000
Melisa Knott,Female,Training,86010,Kaduna,Average,Female,80000
Mella Northam,Male,Support,109120,Kaduna,Not Rated,Male,100000
Melodie Torresi,Female,Business Development,75090,Lagos,Average,Female,70000
Melva Jickells,Female,Product Management,68800,Lagos,Poor,Female,60000
Mendel Gentsch,Male,Human Resources,28330,Lagos,Very Poor,Male,20000
Meredith Rucklidge,Male,Legal,115840,Lagos,Not Rated,Male,110000
Merrel Blind,Female,Product Management,82120,Lagos,Average,Female,80000
Merrilee Plenty,Female,Research and Development,87620,Abuja,Good,Female,80000
Merrilee Plenty,Female,Research and Development,87620,Abuja,Very Good,Female,80000
Meryl Waggatt,Female,Business Development,77060,Kaduna,Good,Female,70000
Michael Sidry,Male,Product Management,81260,Abuja,Average,Male,80000
Michaeline Capehorn,Female,Support,95340,Lagos,Poor,Female,90000
Michaella Perri,Male,Training,75320,Lagos,Very Poor,Male,70000
Michale Rolf,Male,Services,111820,Lagos,Very Good,Male,110000
Mick Spraberry,Female,Services,85880,Abuja,Good,Female,80000
Mick Tanguy,Female,Research and Development,97400,Lagos,Good,Female,90000
Mick Titman,Male,Training,105330,Lagos,Poor,Male,100000
Mickey Pybus,Male,Human Resources,87850,Kaduna,Good,Male,80000
Mickie Dagwell,Male,Engineering,50860,Abuja,Not Rated,Male,50000
Miguel Woolner,Male,Training,51740,Kaduna,Poor,Male,50000
Millard Brakewell,Male,Product Management,76560,Kaduna,Good,Male,70000
Millie Fiveash,Female,Sales,57080,Kaduna,Average,Female,50000
Milton Lilie,Female,Business Development,46470,Kaduna,Average,Female,40000
Minetta Parsons,Female,Human Resources,110770,Abuja,Average,Female,110000
Minetta Parsons,Female,Human Resources,110770,Abuja,Good,Female,110000
Minna Showler,Female,Training,105370,Kaduna,Good,Female,100000
Mirna Etoile,Female,Legal,29970,Kaduna,Average,Female,20000
Monroe Hendrickx,Male,Accounting,34080,Kaduna,Not Rated,Male,30000
Monti Burdus,Female,Human Resources,39650,Abuja,Average,Female,30000
Moore Gligoraci,Female,Training,49530,Lagos,Average,Female,40000
Mora Innett,Female,Legal,105610,Lagos,Poor,Female,100000
Mord Cromblehome,Male,Legal,57910,Kaduna,Average,Male,50000
Morten Dumphy,Male,Legal,111480,Kaduna,Poor,Male,110000
Murial Ickovici,Female,Business Development,72500,Kaduna,Good,Female,70000
Murial Ickovici,Female,Business Development,72500,Lagos,Average,Female,70000
Murry Dryburgh,Male,Research and Development,69070,Abuja,Average,Male,60000
Murry Dryburgh,Male,Research and Development,69070,Kaduna,Poor,Male,60000
My Hanscome,Male,Sales,59430,Lagos,Average,Male,50000
Myer McCory,Male,Research and Development,69710,Kaduna,Average,Male,60000
Myrilla Mercik,Female,Training,96660,Kaduna,Average,Female,90000
Myrle Prandoni,Male,Sales,62200,Kaduna,Very Good,Male,60000
Nananne Gehringer,"",Support,104800,Lagos,Average,Undisclosed,100000
Nani Brockley,Male,Product Management,47000,Abuja,Good,Male,40000
Nanice Boatwright,"",Marketing,105870,Abuja,Very Poor,Undisclosed,100000
Naoma Cruse,Male,Research and Development,71540,Kaduna,Average,Male,70000
Natalee Craiker,Male,Product Management,111230,Abuja,Average,Male,110000
Nathanial Brounfield,Male,Accounting,105120,Kaduna,Average,Male,100000
Nelli Schoolfield,Female,Engineering,109870,Kaduna,Average,Female,100000
Nerissa Kavanagh,Male,Training,84170,Abuja,Good,Male,80000
Nerissa Kavanagh,Male,Training,84170,Lagos,Not Rated,Male,80000
Nerita Mycock,Male,Accounting,67430,Kaduna,Average,Male,60000
Nessi Delves,Male,Training,56830,Kaduna,Very Good,Male,50000
Nessy Baskwell,Male,Services,58130,Kaduna,Average,Male,50000
Niall Selesnick,Female,Engineering,34980,Lagos,Good,Female,30000
Nickolai Artin,Female,Product Management,110910,Lagos,Average,Female,110000
Nicol Giacomi,Female,Training,39750,Kaduna,Average,Female,30000
Nicola Kiely,Female,Business Development,93740,Kaduna,Average,Female,90000
Nicole Blowfelde,Female,Training,59560,Kaduna,Very Good,Female,50000
Nicolis Winspire,Male,Engineering,45650,Lagos,Good,Male,40000
Niko MacGille,Female,Engineering,88430,Lagos,Average,Female,80000
Niles Mahomet,Female,Human Resources,50020,Abuja,Average,Female,50000
Nolan Tortis,Male,Support,36710,Abuja,Average,Male,30000
Noll Forbear,Male,Services,109380,Kaduna,Average,Male,100000
Nollie Courteney,Male,Research and Development,71490,Abuja,Not Rated,Male,70000
Nonah Bissell,Male,Engineering,82240,Kaduna,Poor,Male,80000
Norrie Grahl,"",Business Development,42950,Abuja,Poor,Undisclosed,40000
North Bertomeu,Female,Marketing,104900,Abuja,Good,Female,100000
Northrup Aires,Female,Human Resources,118300,Kaduna,Average,Female,110000
Novelia Pyffe,Male,Accounting,52270,Kaduna,Good,Male,50000
Oates Dinan,Female,Research and Development,104680,Lagos,Average,Female,100000
Obidiah Westrope,Male,Legal,108460,Kaduna,Good,Male,100000
Oby Sorrel,Female,Support,117880,Kaduna,Average,Female,50000
Oliy Feeney,Female,Marketing,42970,Lagos,Good,Female,40000
Ollie Schirak,Male,Legal,48690,Lagos,Average,Male,40000
Ondrea Banfield,Female,Engineering,107790,Kaduna,Average,Female,100000
Onofredo Hassan,Male,Product Management,52220,Kaduna,Average,Male,50000
Oona Donan,Female,Business Development,88360,Lagos,Average,Female,80000
Oran Buxcy,Female,Engineering,56870,Lagos,Poor,Female,50000
Orlando Gorstidge,Male,Marketing,40750,Lagos,Very Poor,Male,40000
Orran Gritskov,Female,Legal,72700,Lagos,Not Rated,Female,70000
Orton Livick,Male,Services,37920,Abuja,Average,Male,30000
Orton Livick,Male,Services,37920,Abuja,Not Rated,Male,30000
Osborn Pawle,Male,Training,38030,Abuja,Average,Male,30000
Ottilie Vittel,Female,Business Development,34500,Abuja,Not Rated,Female,30000
Packston Joanic,Male,Marketing,51860,Kaduna,Good,Male,50000
Pancho De Ortega,Male,Support,99780,Kaduna,Very Good,Male,90000
Pate Beardsley,Male,Services,85880,Lagos,Very Good,Male,80000
Patience Noot,Female,Business Development,49520,Abuja,Average,Female,40000
Patricia Dwelly,Male,Accounting,91500,Lagos,Poor,Male,90000
Patti Dradey,Male,Services,84740,Lagos,Average,Male,80000
Pauletta Falkus,Male,Sales,33560,Kaduna,Average,Male,30000
Payton Pickervance,Male,Marketing,117020,Kaduna,Average,Male,110000
Pearla Beteriss,Male,Services,69910,Kaduna,Good,Male,60000
Pedro Carluccio,Male,Services,41140,Lagos,Average,Male,40000
Peggi Bullas,Male,Support,56620,Abuja,Average,Male,50000
Pembroke Siflet,Female,Human Resources,59550,Abuja,Average,Female,50000
Penni Patemore,Male,Services,29330,Kaduna,Average,Male,20000
Pennie Walmsley,Male,Support,104470,Lagos,Not Rated,Male,100000
Peria Revey,"",Engineering,103240,Kaduna,Good,Undisclosed,100000
Petey Probey,Male,Services,31630,Kaduna,Poor,Male,30000
Petronella Marusik,Male,Accounting,75600,Abuja,Average,Male,70000
Philis Rowlstone,Female,Human Resources,85740,Lagos,Average,Female,80000
Phillipp Nekrews,Male,Human Resources,71330,Kaduna,Very Good,Male,70000
Phylys Benitez,Female,Product Management,84420,Abuja,Average,Female,80000
Pierson Measham,Male,Business Development,103160,Kaduna,Good,Male,100000
Pippy Roxby,Female,Human Resources,106490,Kaduna,Average,Female,100000
Pippy Shepperd,Female,Accounting,44850,Kaduna,Very Good,Female,40000
Pooh Splevins,Female,Business Development,31020,Lagos,Average,Female,30000
Purcell Le Pine,"",Legal,101220,Kaduna,Good,Undisclosed,100000
Putnem Manchester,Male,Sales,70360,Lagos,Average,Male,70000
Pyotr Lightewood,Male,Training,33840,Lagos,Not Rated,Male,30000
Quentin Ferraresi,Female,Accounting,49000,Abuja,Good,Female,40000
Quintina Kilgannon,Female,Legal,86490,Kaduna,Poor,Female,80000
Radcliffe Fairpool,Female,Services,60760,Lagos,Very Good,Female,60000
Rafaelita Blaksland,Female,Services,109160,Kaduna,Good,Female,100000
Rasia Fryatt,Female,Human Resources,33960,Lagos,Not Rated,Female,30000
Rasla Fisby,Male,Legal,109000,Abuja,Very Good,Male,100000
Reena McKernan,Female,Marketing,104750,Kaduna,Average,Female,100000
Reg MacMichael,Male,Services,106890,Kaduna,Average,Male,100000
Reggie Taylerson,Male,Marketing,87610,Lagos,Good,Male,80000
Reidar Skechley,Male,Product Management,40770,Abuja,Average,Male,40000
Reinald Franken,Female,Engineering,28870,Abuja,Very Good,Female,20000
Renaldo Thomassin,Male,Business Development,73360,Kaduna,Average,Male,70000
Reube Sushams,Male,Marketing,90130,Kaduna,Good,Male,90000
Rey Chartman,Female,Training,93960,Kaduna,Poor,Female,90000
Rhiamon Mollison,Female,Research and Development,59430,Abuja,Average,Female,50000
Rhiamon Mollison,Female,Research and Development,59430,Lagos,Average,Female,50000
Rhianna McLeoid,Male,Legal,114900,Kaduna,Average,Male,110000
Rhody Odhams,Male,Training,103600,Lagos,Good,Male,100000
Riccardo Hagan,Male,Human Resources,86560,Abuja,Average,Male,80000
Richy Gray,Female,Product Management,89830,Kaduna,Very Good,Female,80000
Roanne Phizacklea,Female,Product Management,35990,Abuja,Average,Female,30000
Robbert Mandrier,Female,Training,98020,Abuja,Very Good,Female,90000
Robinia Scholling,Female,Human Resources,100730,Kaduna,Average,Female,100000
Roddy Speechley,Male,Accounting,115920,Abuja,Good,Male,110000
Rodina Drinan,Female,Sales,77050,Abuja,Good,Female,70000
Rodrigo Congdon,Female,Legal,117940,Lagos,Average,Female,110000
Rogers Rosenthaler,Female,Business Development,91190,Lagos,Poor,Female,90000
Rois Garrigan,Male,Accounting,61430,Kaduna,Poor,Male,60000
